sample-id	Fraction	Genotype	Soil	Experiment	lowgermination	replant	Depth
GC89GC2_806rcbc402	EC	SPX1/SPX2	MF21	GC2			100611
syncomP25_160125	Root	phf1		B			8370
syncomP25_160126	Root	phf1		B			8370
GC104GC1_806rcbc294	Soil	Soil	MF21	GC1	104.0		70752
GC93GC2_806rcbc425	Soil	Soil	MF21	GC2			124890
GC42GC2_806rcbc380	EC	nla	MF21	GC2			136215
GC6GC1_806rcbc176	EC	Col	MF21	GC1	6.0	2014-02-03	79875
GC73GC2_806rcbc460	EC	phr1	MF21	GC2			45235
GC51GC2_806rcbc327	EC	pho2	MF21	GC2			81935
syncomP74_160125	Agar	Agar		A			109746
syncomP74_160126	Agar	Agar		A			109746
GC10GC2_806rcbc313	EC	Col	MF21	GC2			90835
GC72GC2_806rcbc149	EC	phr1	MF21	GC2			59567
GC23GC2_806rcbc391	EC	pht1:1/pht1:4	MF21	GC2			103243
GC5GC1_806rcbc146	EC	Col	MF21	GC1	5.0	2014-02-03	6745
